step,wealth
0,10000.0
1,10007.95565220182
2,9995.871759488544
3,9869.33014320654
4,9800.155948892558
5,9613.157008943048
6,9571.384172904942
7,9609.076339131372
8,9608.837393672702
9,9714.830175876481
10,10189.442349037075
11,10152.318140562298
12,10121.04169356157
13,10259.945209358906
14,10598.377391808464
15,10682.118350204924
16,10709.035472009133
17,11759.842502455262
18,12046.109429555847
19,12257.892092990265
20,12134.285734741821
21,12046.273706500133
22,12109.968558952358
23,12268.397007287063
24,12255.561126049543
25,12314.178724895844
26,12584.510358814423
27,12406.041325095955
28,12332.706647329225
29,12456.316856636726
30,12444.651250369252
31,12440.395341266438
32,12583.788380106897
33,12658.731450092355
34,13021.93880873191
35,13240.425404311107
36,13177.855360089747
37,13148.182221903146
38,12950.781500908322
39,12603.903134883007
40,13408.61444609164
41,12783.37402361576
42,12938.676000009102
43,12934.793297218956
44,13214.87543905185
45,13246.79378301825
46,12645.48708114769
47,13204.435180631997
48,13153.994245960848
49,13305.039995557354
50,13332.000569360236
51,13219.475153673255
52,13139.891576786278
53,13341.816411464344
54,13351.478221744288
55,13299.97904683404
56,13639.80322198992
57,13914.6785808444
58,14090.529095615488
59,14778.943972842491
60,15500.529378861644
61,15382.56235661281
62,15222.16591714149
63,15526.391303309056
64,15370.718282523367
65,15389.588733005294
66,14471.31280008598
67,14543.548936198798
68,15040.3965563803
69,15087.043762118914
70,14698.376186533073
71,14806.771251184544
72,14496.666786365373
73,14931.272065643136
74,14807.095085590345
75,15283.361408376393
76,15359.114392397596
77,15404.125287557557
78,15313.404349176124
79,15058.01194570092
80,15265.566035696182
81,14878.210242659468
82,15197.53221130784
83,14909.714001884577
84,14723.724573395117
85,14743.820738246875
86,14781.643488450616
87,15432.356043844024
88,15706.16622612692
89,14951.25007556791
90,15408.86833496638
91,15402.857599765699
92,15342.22726782029
93,15326.141237088837
94,16347.234153076379
95,16055.510941078126
96,16224.44755304942
97,16134.008569903392
98,14861.960920638146
99,14858.220036307637
100,14490.913316609585
101,14736.948216446764
102,14958.16991782704
103,14814.575782215452
104,14292.304120094464
105,14415.205468894566
106,14431.537658170293
107,14389.982984622302
108,13666.03862170014
109,13782.52225336422
110,13862.374131489643
111,13812.730789318966
112,14449.174108509878
113,14553.556572937034
114,14524.34385893278
115,14950.84273031238
116,14834.469183114988
117,14706.12798958309
118,14875.467440036195
119,14913.435204255627
120,14846.425478751618
