step,wealth
0,10000.0
1,10007.95565220182
2,9995.871759488544
3,9869.33014320654
4,9800.155948892558
5,9613.157008943048
6,9571.384172904942
7,9609.076339131372
8,9608.837393672702
9,9714.830175876481
10,10189.442349037075
11,10152.318140562298
12,10121.04169356157
13,10259.945209358906
14,10598.377391808464
15,10682.118350204924
16,10709.035472009133
17,11759.842502455262
18,12046.109429555847
19,12257.892092990265
20,12134.285734741821
21,12046.273706500133
22,12109.968558952358
23,12268.397007287063
24,12255.561126049543
25,12227.696980466511
26,12094.921794283404
27,12182.11044410504
28,12217.27383811044
29,12157.487363229704
30,12164.613329426757
31,12168.127332461316
32,12099.434296122157
33,12083.183860200925
34,12429.877469360921
35,12638.430254905126
36,12578.705048517082
37,12550.381042606108
38,12361.955431768201
39,12030.848393884133
40,12798.972337902738
41,12202.159378295268
42,12350.400325029283
43,12346.694154954279
44,12614.041955882707
45,12644.509086035496
46,12070.541665704448
47,12604.076378958001
48,12555.928814558298
49,12700.107050021468
50,12725.841822223652
51,12618.432537805867
52,12542.46734369704
53,12735.211372826274
54,12744.433894885076
55,12695.276204673974
56,13019.649780710271
57,13282.027532602082
58,13449.882748605934
59,14106.997844729634
60,14795.775323432174
61,14683.17184298922
62,14530.068060331803
63,14820.461397965686
64,14671.866276910912
65,14689.878754985584
66,13813.35356953498
67,13882.305384923664
68,13646.812934001682
69,13627.259054874869
70,13804.395936331563
71,13755.122016624271
72,13774.371666237283
73,13569.51979839151
74,13456.66792737055
75,13889.498115444285
76,13958.342324560816
77,13999.248165023117
78,13916.801099288636
79,13684.700829460333
80,13873.32570489264
81,13521.29728564443
82,13811.496657579108
83,13549.927859292104
84,13380.900918982947
85,13399.164286338977
86,13433.537550416071
87,14024.904238040113
88,14273.742560264396
89,13587.675786710179
90,14003.558640074121
91,13998.096092077543
92,13942.995328653014
93,13928.376365745613
94,14856.344222641901
95,14591.22656331204
96,14744.755927102313
97,14662.565101903283
98,13506.529923834305
99,13503.130213229397
100,13169.322364633996
101,13392.918547849888
102,13593.964529968236
103,13463.466374315587
104,12988.826596262335
105,13033.119709417377
106,13038.813733112225
107,13027.121418257379
108,12812.160095006731
109,12875.23615134193
110,12913.557759789574
111,12867.312278284802
112,13129.285802928318
113,13083.409727997445
114,13098.08284294081
115,12907.318036082965
116,12916.87030117203
117,12805.11931563383
118,12952.56885975801
119,12985.628666616898
120,12927.281049147874
