step,wealth
0,10000.0
1,10088.23500725371
2,10177.924379186752
3,10340.360094499049
4,10272.65651564134
5,10207.905866243307
6,10195.282309359442
7,10189.119269159779
8,10033.020032299803
9,10073.129329927217
10,10054.043364052128
11,10109.04277820033
12,10143.306285416265
13,9954.104754632064
14,9919.730072626728
15,9574.754628579389
16,9671.576193650666
17,9570.222003104098
18,9676.892451569434
19,9846.25655432731
20,10063.889460973796
21,10258.274296716534
22,10255.930887386707
23,10384.00070886918
24,10368.76028736792
25,10445.500347402176
26,10343.675482906856
27,10485.89580866627
28,10615.976304207778
29,10558.72660782734
30,10430.883301083224
31,10474.706923653672
32,10402.731680179879
33,10464.903945316119
34,10632.187983380381
35,10615.782995084997
36,10645.306621359065
37,10598.074257319617
38,10713.36045638262
39,10735.87458852427
40,10732.947208185326
41,10825.043554011485
42,10802.776425416638
43,10834.340440349697
44,10736.730460804989
45,10733.217803244019
46,10720.625455905496
47,10672.519252421826
48,10815.839131514222
49,10832.799194187759
50,10893.20773513189
51,10803.28999637006
52,10764.59370297516
53,10746.435494082767
54,10756.087850342106
55,10797.852312513385
56,10890.218167985578
57,10869.422726035207
58,10884.920190614419
59,10940.08407491569
60,10790.122719658375
61,10864.183734915758
62,10928.941975981177
63,11090.123740113908
64,11153.132661457314
65,11077.697013818122
66,11080.03698098312
67,11109.834609468873
68,11070.86040522425
69,10989.827968781146
70,11075.783182615172
71,11228.006062544451
72,11238.23819094422
73,11198.39039672035
74,11242.467687191378
75,11224.905444008677
76,10947.155549146159
77,11040.900712383682
78,10817.623852731149
79,10996.206396741933
80,11150.606827375588
81,11159.370731542249
82,11285.4896432511
83,11329.820865154426
84,11411.349572495028
85,11403.749411117597
86,11398.78064808001
87,11417.175436350175
88,11473.434307042022
89,11463.494775591556
90,11466.124386098449
91,11417.22076655159
92,11397.040467147412
93,11309.038790889708
94,11322.763885809542
95,11446.8510075581
96,11167.6528921793
97,11109.961496922551
98,11376.05688552068
99,11286.938218832047
100,11136.43564076129
101,10997.76457178858
102,11198.247570104922
103,11142.354979102896
104,11300.314769598506
105,11370.437321216044
106,11485.143067066438
107,11500.600669992811
108,11568.981484436674
109,11554.380082200003
110,11593.711948441523
111,11423.78813413771
112,11365.276491500857
113,11455.667878987135
114,11365.145821587834
115,11307.224436209824
116,11370.655160878436
117,11552.432055281779
118,11546.595724928644
119,11515.922026579168
120,11562.506357396831
121,11686.701410984144
122,11853.249536458392
123,11846.246828769607
124,11859.948485277391
125,11916.112054250445
126,12002.43053221347
127,12006.804967842741
128,12042.337563965091
129,12001.140168506037
130,12129.374815895579
131,12169.84832336187
132,12109.91045294492
133,12020.920403770051
134,12134.12898117525
135,12022.797852429161
136,12152.45232518352
137,12177.795735873808
138,12175.170990934763
139,12171.671205257158
140,12248.992520391124
141,12168.245071777837
142,12194.460331623342
143,12118.996063408911
144,12122.786119583861
145,12219.208970262147
146,12307.818560671565
147,12185.334199606274
148,12076.095237965805
149,11816.770863656906
150,11957.87436596079
151,12140.09642611861
152,12109.166227410224
153,12004.38512479452
154,11972.8714072923
155,12100.986730518818
156,12091.075295674107
157,12213.710648218714
158,12186.58234649637
159,12210.742733116858
160,12217.151348658987
161,12238.985111184436
162,12228.19942378234
163,12247.415169688258
164,12201.875926028937
165,12312.965001218972
166,12301.013353953107
167,12303.635332723334
168,12285.265819376307
169,12342.24039326619
170,12362.61866064519
171,12390.266747613228
172,12367.519999719701
173,12298.27491303085
174,12294.19530326966
175,12087.056665604608
176,12258.868208083875
177,12324.231950432577
178,12309.36785031165
179,12381.972566234186
180,12425.876707700685
181,12450.90072788676
182,12457.598126617919
183,12468.079419480726
184,12536.919879572677
185,12632.381699146943
186,12609.351446319497
187,12653.83507587833
188,12550.308703576533
189,12683.571162507536
190,12728.921591325357
191,12685.454733059883
192,12704.37022599835
193,12660.9035269492
194,12561.205102722635
195,12374.318688958361
196,12550.389322534738
197,12651.592164637274
198,12678.058419205327
199,12807.823549610326
200,12839.2266924619
201,12780.576667968084
202,12775.33538520021
203,12828.210137534794
204,12765.758652222983
205,12738.947780685388
206,12842.165802421292
207,12778.839802263406
208,12859.511266330426
209,12880.743825803613
210,12870.260074513175
211,12886.260445107284
212,12918.241343884818
213,12956.899161632678
214,12980.456373425632
215,13010.985297424602
216,12925.414261555263
217,12783.166243326641
218,12802.943624968826
219,12904.414464057896
220,13017.431324435951
221,13038.07937728975
222,13065.409229894745
223,12988.053117422232
224,13103.662924572485
225,13161.160695646367
226,13141.647358961038
227,13148.630168561545
228,13189.020913887534
229,13185.819236004229
230,13138.588488881316
231,13122.572387805869
232,13066.284166932952
233,12962.8542626917
234,12995.987290885738
235,12925.663618037084
236,13033.178866090268
237,13012.50167724975
238,12843.503871734665
239,12627.542947612104
240,12615.609164044947
241,12738.076308445077
242,12891.911297997689
243,12913.129206827467
244,12876.132567471148
245,12614.00497350899
246,12635.217929038017
247,12479.834349436682
248,12627.273241869685
249,12463.371603272633
250,12592.382984162026
251,12644.60953223276
252,12753.460728369562
253,12730.180548988053
254,12637.68189587358
255,12606.535585285916
256,12651.807723058475
257,12862.849059125507
