step,wealth
0,10000.0
1,9969.443414234214
2,9926.694246845605
3,10085.120426938885
4,10019.088031560508
5,9955.935676039635
6,9943.623716859622
7,9937.612804082732
8,9785.366693899043
9,9824.485940532204
10,9828.944424820842
11,9824.441827492581
12,9857.740710565342
13,9673.865790491767
14,9640.458862545212
15,9305.195548666954
16,9390.84304222601
17,9292.430821090893
18,9396.004987154896
19,9560.453022732674
20,9628.366985451426
21,9613.151723789544
22,9615.382915722237
23,9735.453964076967
24,9743.745834433123
25,9815.860110351323
26,9720.173107105938
27,9853.820589378072
28,9976.060013518072
29,9922.261249232912
30,10017.096049517542
31,9996.610741674851
32,10036.166510664954
33,10007.358809786258
34,9928.553417529632
35,9937.383425610327
36,9965.02035022867
37,9920.8063613241
38,10028.725218020843
39,10049.800588880442
40,10047.060282218734
41,10133.271228787244
42,10112.427076760323
43,10141.973999393042
44,10050.601766807764
45,10047.313584952275
46,10050.174345776059
47,10055.970490669979
48,10191.010816275622
49,10188.149858826951
50,10175.168826533247
51,10091.178123826738
52,10055.032543220183
53,10038.071254538276
54,10047.087364108633
55,10086.0988714511
56,10172.376320306284
57,10152.95163495993
58,10167.427565494894
59,10218.955255918214
60,10078.87878401933
61,10148.057978250423
62,10208.547601855495
63,10359.104875863924
64,10417.960488263494
65,10347.49727219977
66,10349.682997610626
67,10377.516479523856
68,10341.111306895977
69,10265.420221103614
70,10345.709593485752
71,10487.89851893387
72,10497.456184265691
73,10460.235005394276
74,10501.406888173342
75,10485.00228140354
76,10225.560605407285
77,10313.126443295088
78,10104.567146780839
79,10271.37820730263
80,10415.60114757761
81,10423.787368445108
82,10541.59300017996
83,10583.002076195107
84,10659.156720591007
85,10652.057533005072
86,10647.416291967924
87,10664.59856561296
88,10717.149065080022
89,10707.86470981716
90,10710.320986380157
91,10664.64090781955
92,10645.790817157525
93,10563.589877387307
94,10558.424891655563
95,10553.600511826628
96,10683.550043330657
97,10628.359493065018
98,10882.920001690645
99,10797.664510267763
100,10653.686018099976
101,10521.026154900825
102,10712.818482798977
103,10700.825831634607
104,10749.202226215586
105,10752.831293039115
106,10699.861161879837
107,10693.922079242457
108,10677.671901428203
109,10685.668790628284
110,10722.043506760538
111,10564.895344213244
112,10510.782875247798
113,10594.378223620637
114,10510.662029698184
115,10538.684294324261
116,10597.80369941027
117,10597.133105238872
118,10599.6362381383
119,10607.592507556286
120,10601.000373611603
121,10545.316323544992
122,10695.5984779747
123,10689.279691766116
124,10701.643172011736
125,10752.32150970961
126,10830.209668453146
127,10834.15687355623
128,10866.21916835866
129,10829.045328491957
130,10944.755901801376
131,10927.78571601025
132,10955.984141377781
133,10997.530797548547
134,10947.04182151718
135,10998.552008285113
136,10940.544012796701
137,10930.425641509972
138,10932.369258711087
139,10929.226719737106
140,10998.655327289564
141,10926.150314785302
142,10949.689606435291
143,10881.928484511596
144,10885.331664117588
145,10971.911984786386
146,11051.476597303135
147,10941.495040199743
148,10843.40683536213
149,10610.553447114853
150,10737.253564265733
151,10900.874991037614
152,10873.102046100974
153,10779.016656583022
154,10750.719756547243
155,10865.757485565939
156,10856.857777653277
157,10966.974913518397
158,10942.61578032748
159,10964.309953507065
160,10970.064398483306
161,10989.669441764665
162,10979.984722143352
163,10997.238987400198
164,11018.980686603038
165,10970.119732027744
166,10959.47152491528
167,10961.807552106244
168,10945.44140789841
169,10996.202365733618
170,11014.358190350742
171,11038.9909919847
172,11018.72499205036
173,10957.031736871275
174,10953.397047132794
175,10768.848836682282
176,10921.922705742685
177,10980.157913885296
178,10966.914884442811
179,11031.601369517788
180,11070.717349184075
181,11093.01226333276
182,11098.979247399284
183,11108.317456160541
184,11169.650213099412
185,11254.701018527938
186,11234.182432553645
187,11273.81470165595
188,11181.57885923613
189,11300.307786843154
190,11340.71232254849
191,11301.985936215051
192,11318.838515776899
193,11280.112271295737
194,11191.286903015096
195,11199.261788488446
196,11358.612874253382
197,11360.749575090951
198,11359.078612597696
199,11475.343443434213
200,11503.479515736364
201,11450.93122980586
202,11446.235231331759
203,11493.609083741238
204,11437.654827365852
205,11413.63326291191
206,11506.112851218495
207,11449.375061390587
208,11521.653755164587
209,11540.67735516924
210,11531.284295828023
211,11545.620045151742
212,11574.273765721859
213,11608.909762518042
214,11630.01616633808
215,11657.368970387082
216,11580.70043871911
217,11453.251395015584
218,11470.97120868079
219,11561.88538496767
220,11663.144375826916
221,11681.644279188149
222,11706.130831777351
223,11636.822572287938
224,11740.404749020745
225,11791.920657851706
226,11774.437418851405
227,11780.69376194167
228,11816.882398735164
229,11814.01381195585
230,11771.696782663086
231,11757.346939400988
232,11706.914743498643
233,11614.245316183962
234,11643.931302751065
235,11580.92385304533
236,11677.25359962853
237,11658.72759148432
238,11507.311712591196
239,11442.808091711224
240,11431.993953463307
241,11542.971048272997
242,11601.753805765231
243,11620.848333242666
244,11638.865269878952
245,11401.925510703868
246,11421.100113798744
247,11280.647338972534
248,11413.91883144715
249,11265.766497728351
250,11382.381177841697
251,11429.589278047326
252,11527.980965121284
253,11506.937777668827
254,11502.77254516982
255,11498.693429601635
256,11539.987124417912
257,11732.482485890634
258,11821.496422959286
259,11856.442309331556
260,11947.56184709719
261,11994.3969316435
262,12025.640632266537
263,12013.173467233859
264,12077.425794514504
265,12088.290721744484
266,12034.618038211402
267,12150.181653959755
268,12174.811214227595
269,12164.995290125958
270,12214.080744577892
271,12288.423655452003
272,12346.197014780848
273,12388.959477705568
274,12399.531841522308
275,12358.478575166158
276,12258.65444608242
277,12262.619979855584
278,12354.816603216872
279,12354.91328031433
280,12344.71170222254
281,12314.68678643648
282,12356.441764737101
283,12334.325436823054
284,12299.55337958715
285,12315.851841182464
286,12348.689578716057
287,12070.156901751152
288,12217.315915392051
289,11977.2531232879
290,11843.474938921338
291,12023.498180460716
292,11918.419619743285
293,12058.744002703928
294,11936.72118772363
295,11922.344995755086
296,11841.577414408866
297,11952.527067372988
298,11846.175131062808
299,11764.39182865368
300,11946.789154047312
301,11840.968762082934
302,11672.74420696683
303,11736.513189074421
304,11634.59672060192
305,11750.349881288119
306,11823.23486948244
307,11741.55295983097
308,11747.736375912727
309,11762.754178951887
310,11780.422405328982
311,11796.674069789371
312,11864.779381802759
313,11860.804830960391
314,11630.836466331719
315,11619.905228246686
316,11644.290115706466
317,11652.912273474758
318,11758.569922757064
319,11760.520533164556
320,11843.491999534863
321,11845.381923865374
322,11633.725326564796
323,11512.294077769846
324,11384.16482996791
325,11175.462746134943
326,11222.821867175471
327,11084.95929834838
328,11057.114366646914
329,11002.379863482369
330,11272.289958427487
331,11173.0089578501
332,11136.705468947448
333,11084.187755264122
334,10820.543447422284
335,10871.304494919492
336,10836.359426050107
337,10925.154852059683
338,11083.897566512938
339,10882.957766930613
340,10666.216116513064
341,10631.287829495304
342,10801.369000881785
343,10813.468664968692
344,10579.97501524118
345,10615.586643137947
346,10562.81498671578
347,10441.257576526736
348,10597.219278045182
