step,wealth
0,10000.0
1,9969.443414234214
2,9926.694246845605
3,9828.809727745827
4,9887.218973976213
5,9934.37339247086
6,9942.888829370811
7,9947.314264462222
8,10021.496597064051
9,10016.332634416282
10,10020.878181323329
11,10016.287659963567
12,10012.304483833514
13,10043.202116588334
14,10036.825923712877
15,9938.803450219411
16,10030.28283934513
17,9956.79377204138
18,10054.235685105792
19,10167.635057978598
20,10239.862219873909
21,10223.680640661938
22,10225.831618065471
23,10163.190032576878
24,10171.846213836227
25,10135.403903480137
26,10185.99962927791
27,10117.174147450718
28,10055.613534106347
29,10083.912753544206
30,10146.148588851205
31,10188.77594585129
32,10229.092096796914
33,10205.522969411328
34,10130.50674103667
35,10142.778948481573
36,10127.848633376367
37,10153.169612960284
38,10114.539452144454
39,10105.746181710489
40,10108.057461465514
41,10077.744221415613
42,10088.678868306972
43,10078.462460265528
44,10115.709611185994
45,10117.31190788841
46,10120.192599259628
47,10126.029125138837
48,10125.683164881133
49,10122.840547088286
50,10109.942727379448
51,10136.799475092874
52,10142.274264212523
53,10143.558913776611
54,10144.598550852359
55,10146.301074437873
56,10144.265136784335
57,10148.51362825698
58,10147.784997415212
59,10142.348271543317
60,10171.087165875066
61,10176.129555721167
62,10173.160291917111
63,10323.195668283819
64,10381.847261279372
65,10311.628301672426
66,10313.80645039896
67,10341.543449238443
68,10305.264472929315
69,10344.193584466848
70,10425.09907034153
71,10568.37910552011
72,10578.010113143615
73,10594.257556784973
74,10582.952156582538
75,10589.493034662812
76,10659.462278666646
77,10678.809336921646
78,10666.649044254189
79,10743.355214907371
80,10763.759201926177
81,10763.84094504693
82,10753.921407116153
83,10743.626631159688
84,10719.902130830218
85,10724.200774618785
86,10727.206856797278
87,10719.815834334515
88,10694.668165426941
89,10700.5612651793
90,10700.595319045548
91,10724.675976579725
92,10735.41827591285
93,10752.033416957773
94,10752.462420173888
95,10747.549380270344
96,10810.08592218187
97,10797.323369026835
98,10886.628222207326
99,10892.400699460048
100,10876.59396291947
101,10828.005988733581
102,10943.426212437793
103,10931.17540343552
104,10980.593164538328
105,10947.81824690381
106,10893.8875794691
107,10887.840800207394
108,10856.75551177396
109,10864.886523075067
110,10847.674855277435
111,10928.448293445716
112,10957.723788329044
113,10915.440455991293
114,10829.187245970397
115,10773.997322528056
116,10834.436775339937
117,10833.751207805568
118,10836.310231911726
119,10844.444152903445
120,10837.704826486008
121,10813.551485919943
122,10759.23433083891
123,10763.680792166913
124,10758.724819831035
125,10734.518704675076
126,10696.904462984789
127,10696.21607623127
128,10681.649880140154
129,10701.180215279053
130,10645.269488561169
131,10628.763665805656
132,10664.498823784463
133,10705.301837295301
134,10673.946309606381
135,10717.915002207817
136,10694.844623229825
137,10688.219025125181
138,10690.119573834614
139,10692.070258983915
140,10677.686913189236
141,10699.311210055881
142,10697.24330309283
143,10707.770078268704
144,10708.59275219813
145,10710.048497269074
146,10701.85985077301
147,10727.29424162889
148,10730.96155738181
149,10699.11446738194
150,10767.076326360095
151,10815.797306310144
152,10816.443699880834
153,10812.057137039497
154,10806.576700869082
155,10836.566038386018
156,10836.826407307233
157,10845.534106430678
158,10858.857248307866
159,10849.373203037241
160,10847.805037964155
161,10839.390474827938
162,10845.444336774175
163,10862.487181381935
164,10822.097479257402
165,10920.624689981005
166,10910.024525503592
167,10912.350012995184
168,10916.70132801999
169,10909.637080503922
170,10906.975844504572
171,10903.016986596422
172,10908.613078794038
173,10920.173599090525
174,10921.236231273238
175,10924.824142256197
176,10971.874236520012
177,10975.43186408398
178,10976.915920918227
179,10977.018725358941
180,10973.744333996596
181,10971.235913666746
182,10971.191500912233
183,10970.61253387191
184,10941.619500423125
185,10901.252032376
186,10912.47414812069
187,10894.511813620591
188,10940.362333088
189,10883.56814096214
190,10865.393831526948
191,10885.22624786348
192,10878.393799050344
193,10890.719537601703
194,10909.750907265441
195,10917.525170831572
196,10958.134886131695
197,10960.196251920688
198,10958.584203636847
199,10945.71968738354
200,10939.243741283519
201,10955.205410127606
202,10957.06706954946
203,10935.68402237746
204,10963.59214937806
205,10976.397474084622
206,10933.222912726233
207,10961.468098965766
208,10928.160914104888
209,10946.20458790677
210,10948.94407846905
211,10947.682980831223
212,10943.953341404464
213,10938.284573572988
214,10934.605201507411
215,10929.461728424269
216,10947.683601096749
217,10959.26617317847
218,10962.171022600163
219,10972.270330134908
220,10969.95203406722
221,10967.774750520375
222,10964.333164794336
223,10979.163638588238
224,10971.31221397278
225,10961.229976135954
226,10970.647867136448
227,10969.026433825267
228,10953.471779909412
229,10956.09244234241
230,10977.005923541528
231,10984.990417263984
232,11009.844916815846
233,11054.71851485614
234,11059.50101919623
235,11054.50851766195
236,11072.843950664279
237,11072.89505362717
238,11060.642851219956
239,10998.643008773417
240,10992.402079356238
241,11058.92316492
242,11115.240901125879
243,11119.25632350191
244,11115.393736173268
245,10889.110618883387
246,10907.422821850972
247,10773.287074307635
248,10854.841779032417
249,10926.569084637322
250,11039.672650098073
251,11085.459376492172
252,11180.88861926801
253,11160.479014514829
254,11156.439191688469
255,11171.502134274551
256,11152.759653450672
257,11061.056248811166
258,11020.400172740921
259,11005.41035835463
260,10964.418068767098
261,10944.219971955086
262,10931.255978900483
263,10938.210826962531
264,10910.248744296368
265,10906.62735243881
266,10932.12601366158
267,10880.926251137584
268,10871.180536443477
269,10863.119755544518
270,10842.232683092565
271,10809.138836859447
272,10781.367278513793
273,10760.243820668265
274,10756.059525384428
275,10776.91145001676
276,10814.471374759854
277,10814.76850921945
278,10775.387856905172
279,10775.472174888631
280,10766.574757450406
281,10774.709043634946
282,10768.690118457636
283,10774.026210909775
284,10779.804097085005
285,10779.561146877491
286,10778.140317374602
287,10803.385902895232
288,10846.44550470122
289,10954.28706875313
290,10898.029885867649
291,11005.891263242089
292,10972.716670030819
293,11036.056352513006
294,11092.602934113525
295,11089.594794057666
296,11104.251989601931
297,11100.03010446888
298,11150.721815294068
299,11190.52725887434
300,11105.096358248768
301,11155.587887157953
302,11236.146556060678
303,11116.027891941732
304,11311.70525824443
305,11315.894038600934
306,11305.884559466442
307,11263.992995858858
308,11269.888260738106
309,11264.602633663277
310,11279.478518137967
311,11290.142379650377
312,11258.88274696852
313,11262.095706511003
314,11372.603269617377
315,11379.28811151677
316,11334.2109501083
317,11332.348975091198
318,11353.236891631113
319,11355.120261988648
320,11356.312725443484
321,11358.124908178572
322,11311.30011067212
323,11245.44555732173
324,11151.84759354156
325,10947.404503853239
326,10993.797164878119
327,10858.747964574313
328,10831.471265824319
329,10777.85373247726
330,11042.255758251054
331,11174.264757999124
332,11196.235789293447
333,11208.608632627569
334,11343.231742359429
335,11317.962318664597
336,11337.486860814717
337,11292.372409221078
338,11211.664328483537
339,11314.613971040792
340,11089.27558799821
341,11052.96192284033
342,11229.7891089044
343,11242.368688027516
344,11250.985223554582
345,11225.891193913718
346,11170.08562300815
347,11041.539711560265
348,11198.666292763644
